Prince Sultan University,Riyadh,Saudi Arabia,"[""psu.edu.sa""]","[""http://www.psu.edu.sa/""]",SA
Qassim Private College,Qassim,Saudi Arabia,"[""qc.edu.sa""]","[""http://www.qc.edu.sa/""]",SA
Qassim University,Qassim,Saudi Arabia,"[""qu.edu.sa""]","[""http://www.qu.edu.sa/""]",SA
College of Technology at Riyadh,Riyadh,Saudi Arabia,"[""rct.edu.sa""]","[""http://www.rct.edu.sa/""]",SA
Riyadh College of Dentistry and Pharmacy,Riyadh,Saudi Arabia,"[""riyadh.edu.sa""]","[""http://www.riyadh.edu.sa/""]",SA
Princess Nora Bint Abdulrahman University,Riyadh,Saudi Arabia,"[""rug.edu.sa""]","[""http://www.rug.edu.sa/""]",SA
Saad College of Nursing and Allied Health Sciences,Al-Khobar,Saudi Arabia,"[""saadcollege.com""]","[""http://www.saadcollege.com/""]",SA
Shaqra University,Shaqra,Saudi Arabia,"[""su.edu.sa""]","[""http://www.su.edu.sa/""]",SA
Taibah University,Medina,Saudi Arabia,"[""taibahu.edu.sa""]","[""http://www.taibahu.edu.sa/""]",SA
College of Technology at Jazan,Jazan,Saudi Arabia,"[""tnmeyah.net""]","[""http://www.tnmeyah.net/jct/""]",SA
Taif University,Taif,Saudi Arabia,"[""tu.edu.sa""]","[""http://www.tu.edu.sa/""]",SA
Jubail University College,Jubail,Saudi Arabia,"[""ucj.edu.sa""]","[""http://www.ucj.edu.sa/""]",SA
University of Dammam,Dammam,Saudi Arabia,"[""ud.edu.sa""]","[""http://www.ud.edu.sa/""]",SA
University of Hail,Hail,Saudi Arabia,"[""uoh.edu.sa""]","[""http://www.uoh.edu.sa/""]",SA
Umm Al-Qura University,Mecca,Saudi Arabia,"[""uqu.edu.sa""]","[""http://www.uqu.edu.sa/""]",SA
University of Tabuk,Tabuk,Saudi Arabia,"[""ut.edu.sa""]","[""http://www.ut.edu.sa/""]",SA
Yanbu Industrial College,Yanbu,Saudi Arabia,"[""yic.edu.sa""]","[""http://www.yic.edu.sa/""]",SA
Yanbu Technical Institute,Yanbu,Saudi Arabia,"[""yti.edu.sa""]","[""http://www.yti.edu.sa/""]",SA
Yanbu University College,Yanbu,Saudi Arabia,"[""yuc.edu.sa""]","[""http://www.yuc.edu.sa/""]",SA
