American University of Antigua,Antigua and Barbuda,,"[""auamed.org""]",AG,"[""http://www.auamed.org/""]"
University of Health Sciences Antigua,Antigua and Barbuda,,"[""uhsa.ag""]",AG,"[""http://www.uhsa.ag/""]"
